modelo,condicao,split,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
bertimbau_pt,instrucao_automatica,teste,0.8828571428571429,0.8845663265306123,0.8828571428571429,0.8827268393453043,0.8827268393453043
bertimbau_pt,instrucao_automatica,validação,0.8666666666666667,0.8692603648666918,0.8666666666666667,0.8664321202583403,0.8664321202583403
bertimbau_pt,instrucao_manual,teste,0.8914285714285715,0.8916331797837237,0.8914285714285715,0.8914143888181314,0.8914143888181314
bertimbau_pt,instrucao_manual,validação,0.8895238095238095,0.889546422649478,0.8895238095238095,0.8895222062179586,0.8895222062179586
bertimbau_pt,sem_instrucao,teste,0.8819047619047619,0.8823542231957022,0.8819047619047619,0.8818700461632263,0.8818700461632263
bertimbau_pt,sem_instrucao,validação,0.8819047619047619,0.881910304367229,0.8819047619047619,0.8819043334397585,0.8819043334397585
e5_large_instruct,instrucao_automatica,teste,0.8714285714285714,0.8720238095238095,0.8714285714285714,0.8713771222774824,0.8713771222774824
e5_large_instruct,instrucao_automatica,validação,0.8647619047619047,0.8654035567218262,0.8647619047619047,0.8647025088564957,0.8647025088564957
e5_large_instruct,instrucao_manual,teste,0.8990476190476191,0.90545547040023,0.8990476190476191,0.8986471719555906,0.8986471719555906
e5_large_instruct,instrucao_manual,validação,0.8857142857142857,0.8911697285682222,0.8857142857142857,0.8853144205283546,0.8853144205283546
e5_large_instruct,sem_instrucao,teste,0.9019047619047619,0.9024318472448268,0.9019047619047619,0.9018726313105697,0.9018726313105697
e5_large_instruct,sem_instrucao,validação,0.9057142857142857,0.9060457516339869,0.9057142857142857,0.9056950398040416,0.9056950398040416
e5_multilingual,instrucao_automatica,teste,0.8704761904761905,0.8705245855240957,0.8704761904761905,0.8704719609892023,0.8704719609892024
e5_multilingual,instrucao_automatica,validação,0.8628571428571429,0.8628624088875666,0.8628571428571429,0.8628566452848808,0.8628566452848809
e5_multilingual,instrucao_manual,teste,0.8638095238095238,0.8638108437581633,0.8638095238095238,0.8638094002806352,0.8638094002806351
e5_multilingual,instrucao_manual,validação,0.8447619047619047,0.8447731626610937,0.8447619047619047,0.8447606375018027,0.8447606375018027
e5_multilingual,sem_instrucao,teste,0.8790476190476191,0.8790820029027576,0.8790476190476191,0.87904487630105,0.8790448763010499
e5_multilingual,sem_instrucao,validação,0.8819047619047619,0.8825765698314683,0.8819047619047619,0.8818528950577851,0.8818528950577851
